Epoch: 1
Loss: 0.5252877473831177, Accuracy: 32.06%
Loss: 0.7088424563407898, Accuracy: 32.14%
Loss: 0.37637823820114136, Accuracy: 32.236666666666665%
Loss: 0.6371060013771057, Accuracy: 32.32%
Loss: 0.5332040786743164, Accuracy: 32.41166666666667%
Loss: 0.5437259078025818, Accuracy: 32.5%
Loss: 0.6782907843589783, Accuracy: 32.58%
Loss: 0.4647692143917084, Accuracy: 32.67333333333333%
Loss: 0.4516599476337433, Accuracy: 32.76833333333333%
Loss: 0.4811820685863495, Accuracy: 32.86%
Loss: 0.3436000347137451, Accuracy: 32.958333333333336%
Loss: 0.46241042017936707, Accuracy: 33.05166666666667%
Loss: 0.6780507564544678, Accuracy: 33.135%
Loss: 0.4749685227870941, Accuracy: 33.22666666666667%
Loss: 0.3986667990684509, Accuracy: 33.325%
Loss: 0.7181944847106934, Accuracy: 33.413333333333334%
Loss: 0.4895589351654053, Accuracy: 33.505%
Loss: 0.5723131895065308, Accuracy: 33.596666666666664%
Loss: 0.38424429297447205, Accuracy: 33.693333333333335%
Loss: 0.9479969143867493, Accuracy: 33.77%
Loss: 0.5313883423805237, Accuracy: 33.861666666666665%
Loss: 0.48679566383361816, Accuracy: 33.95166666666667%
Loss: 0.46473562717437744, Accuracy: 34.045%
Loss: 0.47554728388786316, Accuracy: 34.13666666666666%
Loss: 0.537298858165741, Accuracy: 34.225%
Loss: 0.4785945415496826, Accuracy: 34.31666666666667%
Loss: 0.7479780316352844, Accuracy: 34.403333333333336%
Loss: 0.6828635334968567, Accuracy: 34.48833333333334%
Loss: 0.549856960773468, Accuracy: 34.57666666666667%
Loss: 0.4071328938007355, Accuracy: 34.67166666666667%
Loss: 0.506511390209198, Accuracy: 34.765%
Loss: 0.5340995788574219, Accuracy: 34.858333333333334%
Loss: 0.47061964869499207, Accuracy: 34.946666666666665%
Loss: 0.5465950965881348, Accuracy: 35.035%
Loss: 0.5517764091491699, Accuracy: 35.125%
Loss: 0.5692886114120483, Accuracy: 35.215%
Loss: 0.6898384094238281, Accuracy: 35.30166666666667%
Loss: 0.5844785571098328, Accuracy: 35.388333333333335%
Loss: 0.7680870890617371, Accuracy: 35.468333333333334%
Loss: 0.800478994846344, Accuracy: 35.54333333333334%
Loss: 0.7759665250778198, Accuracy: 35.63166666666667%
Loss: 0.7088668942451477, Accuracy: 35.71%
Loss: 0.7961905002593994, Accuracy: 35.79%
Loss: 0.6874343156814575, Accuracy: 35.875%
Loss: 0.6149566173553467, Accuracy: 35.96333333333333%
Loss: 0.4857088327407837, Accuracy: 36.056666666666665%
Loss: 0.49472177028656006, Accuracy: 36.14666666666667%
Loss: 0.5562382340431213, Accuracy: 36.235%
Loss: 0.672545313835144, Accuracy: 36.32%
Loss: 0.5557626485824585, Accuracy: 36.406666666666666%
Loss: 0.6910103559494019, Accuracy: 36.498333333333335%
Loss: 0.6164694428443909, Accuracy: 36.58833333333333%
Loss: 0.5411025285720825, Accuracy: 36.67333333333333%
Loss: 0.5482441782951355, Accuracy: 36.763333333333335%
Loss: 0.8032291531562805, Accuracy: 36.83833333333333%
Loss: 0.48599565029144287, Accuracy: 36.93333333333333%
Loss: 0.6250119209289551, Accuracy: 37.02166666666667%
Loss: 0.44936567544937134, Accuracy: 37.111666666666665%
Loss: 0.5754079222679138, Accuracy: 37.20166666666667%
Loss: 0.6858384609222412, Accuracy: 37.291666666666664%
